title,offering,price,bedrooms,bathrooms,latitude,longitude,floor_size,property_type,url
3 bedroom townhouse for sale,buy,1895000,3,2,-33.7970925,18.5004213,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/v4jncp/
3 bedroom house for sale,buy,4500000,3,2,-34.007135064359,18.463318347931,S.O.A.,Houses,https://www.residentialpeople.com/za/property/pedocpdh-wynberg-upper-za-wynberg/
2 bedroom house for sale,buy,675000,2,1,-33.941385,18.7066398,S.O.A.,Houses,https://www.residentialpeople.com/za/property/r7s45v/
6 bedroom house for sale,buy,77500000,6,7,-34.0350801,18.5845438,S.O.A.,Houses,https://www.residentialpeople.com/za/property/sk72mz-freehold/
3 bedroom house for sale,buy,1250000,3,2,-33.941385,18.70664,204.0,Houses,https://www.residentialpeople.com/za/property/qdsdne26-5-nooiensfontein-road-hagley-kuils-river/
3 bedroom house for sale,buy,2725000,3,2,-33.8008548,18.4907987,S.O.A.,Houses,https://www.residentialpeople.com/za/property/nw4u5n/
3 bedroom house for sale,buy,1050000,3,2,-33.94208,18.70663,253.0,Houses,https://www.residentialpeople.com/za/property/qcxldh-kuils-river-hagley/
4 bedroom house for sale,buy,2650000,4,3,-33.94208,18.70663,1058.0,Houses,https://www.residentialpeople.com/za/property/bpal2l-kuils-river-amandelrug/
2 bedroom duplex for sale,buy,920000,2,2,-33.941385,18.7066398,140.0,Duplex,https://www.residentialpeople.com/za/property/p8ha7r/
3 bedroom townhouse for sale,buy,1790000,3,2,-33.7970925,18.5004213,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/sg7a4z/
3 bedroom house for sale,buy,1325000,3,1,-33.941385,18.70664,283.0,Houses,https://www.residentialpeople.com/za/property/kmrwmd4r-51-impala-crescent-turtle-creek-kuils-river/
3 bedroom house for sale,buy,1479000,3,2,-33.94208,18.70663,362.0,Houses,https://www.residentialpeople.com/za/property/pl7k7h-43-albertersia-crescent-hunters-creek-kuils-river/
4 bedroom house for sale,buy,5000000,4,2,-33.941385,18.7066398,700.0,Houses,https://www.residentialpeople.com/za/property/avbedz/
2 bedroom house for sale,buy,890000,2,1,-33.94208,18.70663,S.O.A.,Houses,https://www.residentialpeople.com/za/property/ts4e9n-kuils-river-highbury-park/
4 bedroom house for sale,buy,2395000,4,3,-33.94208,18.70663,744.0,Houses,https://www.residentialpeople.com/za/property/flqdga-kuils-river-amandelsig/
3 bedroom house for sale,buy,2495000,3,2,-33.94208,18.70663,1123.0,Houses,https://www.residentialpeople.com/za/property/tb3lkj-kuils-river-amandelrug/
3 bedroom house for sale,buy,2780000,3,2,-33.94208,18.70663,857.0,Houses,https://www.residentialpeople.com/za/property/q99etuff-kuils-river-haasendal/
3 bedroom house for sale,buy,1195000,3,2,-33.94208,18.70663,265.0,Houses,https://www.residentialpeople.com/za/property/p37noq-kuils-river-hagley/
3 bedroom house for sale,buy,1350000,3,1,-33.94208,18.70663,214.0,Houses,https://www.residentialpeople.com/za/property/17sk3q9r-kuils-river-kuils-river-south/
2 bedroom flat/apartment for sale,buy,1050000,2,1,-33.8083862,18.4758139,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/cm772l/
3 bedroom house for sale,buy,1195000,3,2,-33.94208,18.70663,253.0,Houses,https://www.residentialpeople.com/za/property/o4zwfx-kuils-river-hagley/
2 bedroom flat/apartment for sale,buy,1250000,2,1,-33.8083862,18.4758139,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/y3zuaz-sectional-title/
2 bedroom flat/apartment for sale,buy,4995000,2,2,-33.9090066,18.410045,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/hzp6gt-sectional-title/
2 bedroom house for sale,buy,1800000,2,1,-33.8019186,18.4867441,S.O.A.,Houses,https://www.residentialpeople.com/za/property/xwcs9k-freehold/
3 bedroom house for sale,buy,2950000,3,2,-33.8083862,18.4758139,S.O.A.,Houses,https://www.residentialpeople.com/za/property/faosgf/
4 bedroom house for sale,buy,4000000,4,3,-33.7979449,18.4958989,S.O.A.,Houses,https://www.residentialpeople.com/za/property/tqsbws/
3 bedroom house for sale,buy,2450000,3,2,-33.8269667,18.6724911,167.0,Houses,https://www.residentialpeople.com/za/property/ul3zll/
3 bedroom house for sale,buy,1895000,3,2,-33.8953336,18.7098079,S.O.A.,Houses,https://www.residentialpeople.com/za/property/og55xf/
5 bedroom house for sale,buy,3295000,5,4,-33.8269667,18.6724911,380.0,Houses,https://www.residentialpeople.com/za/property/duf43r/
2 bedroom flat/apartment for sale,buy,2470000,2,1,-33.90994,18.40877,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/jm3r9x-sectional-title/
3 bedroom house for sale,buy,1550000,3,2,-33.8814075,18.7073822,S.O.A.,Houses,https://www.residentialpeople.com/za/property/o8rlcsfi/
2 bedroom flat/apartment for sale,buy,4750000,2,2,-33.89993,18.40943,78.0,Flats/Apartments,https://www.residentialpeople.com/za/property/gjtfjbrb-mouille-point-cape-town/
2 bedroom house for sale,buy,730000,2,1,-33.9795332,18.6884182,S.O.A.,Houses,https://www.residentialpeople.com/za/property/lvkxzo/
3 bedroom house for sale,buy,1500000,3,2,-33.8814075,18.7073822,94.0,Houses,https://www.residentialpeople.com/za/property/fvjnqf/
3 bedroom house for sale,buy,1765000,3,2,-33.8814075,18.7073822,S.O.A.,Houses,https://www.residentialpeople.com/za/property/pnazoe/
4 bedroom house for sale,buy,3299998,4,3,-33.7988503,18.4932802,S.O.A.,Houses,https://www.residentialpeople.com/za/property/pca8ot/
2 bedroom flat/apartment for sale,buy,3995000,2,1,-33.9324627,18.4108833,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/x8lrfp-sectional-title/
4 bedroom house for sale,buy,3294968,4,2,-33.7988463,18.4932726,S.O.A.,Houses,https://www.residentialpeople.com/za/property/tlowmy/
4 bedroom house for sale,buy,2200000,4,3,-33.7988463,18.4932726,S.O.A.,Houses,https://www.residentialpeople.com/za/property/blyh3q/
2 bedroom flat/apartment for sale,buy,11250000,2,2,-33.90994,18.40877,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/x5nm9z/
4 bedroom house for sale,buy,2650000,4,2,-33.7988503,18.4932802,S.O.A.,Houses,https://www.residentialpeople.com/za/property/q7y99t/
3 bedroom house for sale,buy,6995000,3,2,-33.90994,18.40877,S.O.A.,Houses,https://www.residentialpeople.com/za/property/tnzlor-freehold/
3 bedroom duplex for sale,buy,10995000,3,3,-33.90994,18.40877,S.O.A.,Duplex,https://www.residentialpeople.com/za/property/cn38fb-sectional-title/
3 bedroom penthouse for sale,buy,20995000,3,3,-33.90994,18.40877,S.O.A.,Penthouses,https://www.residentialpeople.com/za/property/v9zhon-sectional-title/
4 bedroom house for sale,buy,14000000,4,2,-33.90994,18.40877,S.O.A.,Houses,https://www.residentialpeople.com/za/property/xeq3qf-freehold/
3 bedroom house for sale,buy,13950000,3,3,-33.90994,18.40877,S.O.A.,Houses,https://www.residentialpeople.com/za/property/exxm8r-freehold/
5 bedroom house for sale,buy,28500000,5,5,-33.90994,18.40877,S.O.A.,Houses,https://www.residentialpeople.com/za/property/tzhhkh-freehold/
2 bedroom flat/apartment for sale,buy,5950000,2,2,-33.90994,18.40877,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/s3aexk/
2 bedroom flat/apartment for sale,buy,2395000,2,1,-33.90994,18.40877,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/vmj9wm-sectional-title/
3 bedroom house for sale,buy,2495000,3,2,-33.7988503,18.4932802,S.O.A.,Houses,https://www.residentialpeople.com/za/property/npqulm/
3 bedroom flat/apartment for sale,buy,21500000,3,3,-33.90994,18.40877,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/fb7h2t-sectional-title/
7 bedroom house for sale,buy,7750000,7,7,-33.90994,18.40877,S.O.A.,Houses,https://www.residentialpeople.com/za/property/sce5wv-freehold/
2 bedroom flat/apartment for sale,buy,8300000,2,2,-33.90994,18.40877,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/tb2gxv-sectional-title/
