,price,bedrooms,bathrooms,latitude,longitude,floor_size,property_type,binned_price
2072,2350000,3.0,2,-33.9413823,18.837739300000003,,Flats/Apartments,13
2073,3150000,3.0,2,-33.9020374,18.8418767,,Houses,17
2074,3890000,2.0,1,-34.1235011,18.452719199999997,,Flats/Apartments,21
2076,7500000,3.0,3,-34.0605556,18.335555600000003,,Flats/Apartments,41
2077,3050000,3.0,2,-33.9020374,18.8418767,,Houses,17
2078,3690000,3.0,2,-34.1194646,18.4427862,,Flats/Apartments,20
2079,5490000,3.0,3,-34.1260152,18.4332021,,Houses,30
2080,8500000,2.0,2,-34.0605556,18.335555600000003,,Flats/Apartments,46
2081,5100000,3.0,3,-33.8981535,18.847624800000002,,Houses,28
2082,1455000,1.0,1,-34.127115,18.433432,65.0,Houses,8
2083,1895000,2.0,2,-33.9405255,18.84703,56.0,Flats/Apartments,11
2084,2795000,3.0,2,-33.719003799999996,18.7112878,,Houses,16
2085,2150000,2.0,1,-33.9005028,18.8480539,,Houses,12
2086,7500000,4.0,4,-33.899234,18.848737,330.0,Houses,41
2087,775500,3.0,2,-34.063708,18.768262,240.0,Houses,5
2088,3700000,3.0,2,-34.127223,18.43092,250.0,Houses,20
2089,5750000,4.0,4,-33.949026,18.84688,429.0,Houses,31
2090,2395000,2.0,1,-33.692994299999995,18.4463812,90.0,Flats/Apartments,13
2091,3500000,2.0,1,-33.920676,18.848879,71.0,Flats/Apartments,19
2095,5600000,3.0,2,-34.125778600000004,18.432389999999998,,Townhouses,31
2096,2900000,3.0,2,-33.9405255,18.84703,,Townhouses,16
2097,2285000,3.0,2,-33.693219299999996,18.4483763,,Houses,13
2098,2750000,6.0,3,-33.69408,18.44735,450.0,Houses,15
2099,5500000,3.0,2,-33.975119,18.842732,,Houses,30
2101,2900000,3.0,2,-33.9854345,18.8340307,,Houses,16
2102,7500000,3.0,3,-34.104956,18.38488,306.0,Houses,41
2103,4850000,4.0,4,-34.1222025,18.4269252,641.0,Houses,27
2104,610000,2.0,1,-33.9050218,18.8521777,68.0,Flats/Apartments,4
2105,5800000,4.0,3,-33.945143200000004,18.8445432,,Houses,32
2106,430000,2.0,1,-33.910748,18.853742,49.0,Flats/Apartments,3
2107,1150000,1.0,1,-33.938676,18.851126999999998,58.0,Flats/Apartments,7
2108,3495000,6.0,4,-34.122704999999996,18.431925,,Houses,19
2109,2645000,3.0,2,-33.90060020000001,18.8519038,,Houses,15
2110,2995000,3.0,2,-33.9002499,18.8512576,,Houses,17
2112,2999000,5.0,3,-33.6887561,18.4484995,,Houses,17
2113,899000,1.0,1,-33.938676,18.851126999999998,49.0,Flats/Apartments,5
2114,2995000,3.0,1,-33.900361,18.851789,186.0,Houses,17
2115,3100000,4.0,2,-33.9469276,18.850692300000002,184.0,Townhouses,17
2116,950000,1.0,1,-34.067884,18.7844,43.0,Flats/Apartments,6
2117,2050000,2.0,1,-34.067884,18.7844,79.0,Flats/Apartments,12
2118,5000000,2.0,2,-33.975119,18.842732,,Houses,27
2119,2800000,1.0,1,-33.975119,18.842732,,Houses,16
2120,1995000,3.0,2,-33.9007534,18.853663,150.0,Houses,11
2121,4000000,3.0,3,-34.067884,18.7844,208.0,Flats/Apartments,22
2122,4800000,3.0,2,-33.668679600000004,18.580764300000002,,Houses,26
2123,2214000,4.0,3,-34.131619,18.43398,496.0,Houses,12
2124,2350000,3.0,2,-33.8987329,18.8534175,,Houses,13
2125,2250000,2.0,1,-33.9381614,18.8522527,,Flats/Apartments,13
2126,2350000,3.0,2,-33.8987329,18.8534175,,Houses,13
2127,2295000,3.0,2,-33.901322,18.8536602,,Houses,13
2128,1790000,2.0,1,-33.929742499999996,18.854459,,Flats/Apartments,10
2131,4995000,3.0,3,-33.950534000000005,18.8511889,,Houses,27
2132,2195000,3.0,2,-34.128335,18.42461,,Houses,12
2133,1250000,1.0,1,-33.931782,18.853514,,Flats/Apartments,7
2134,2350000,3.0,2,-33.8980224,18.854481699999997,,Houses,13
2135,3850000,4.0,3,-33.9496539,18.8517534,,Houses,21
2136,2750000,3.0,3,-33.8980224,18.854481699999997,,Houses,15
2137,6775000,2.0,2,-33.899623299999995,18.855424499999998,,Houses,37
2138,2625000,4.0,2,-33.902687799999995,18.8553283,,Houses,15
2139,2595000,3.0,2,-33.9026524,18.855332399999998,,Houses,14
2140,4950000,2.0,2,-33.977548999999996,18.844910000000002,134.0,Houses,27
2141,5945000,3.0,3,-33.899623299999995,18.855424499999998,,Houses,33
2142,6500000,4.0,4,-33.899623299999995,18.855424499999998,,Houses,35
2143,2495000,3.0,3,-33.898920000000004,18.853921,116.0,Houses,14
2144,4700000,4.0,3,-33.950534000000005,18.8511889,,Houses,26
2145,2195000,3.0,3,-34.13058,18.42846,150.0,Houses,12
2146,1295000,2.0,1,-34.13283,18.42971,96.0,Flats/Apartments,7
2148,1450000,2.0,2,-34.133717,18.432132,,Flats/Apartments,8
2149,1295000,2.0,2,-34.133407,18.435973999999998,102.0,Flats/Apartments,7
2150,1450000,2.0,1,-34.133717,18.432132,,Flats/Apartments,8
2151,1450000,2.0,1,-34.133717,18.432132,,Flats/Apartments,8
2152,1350000,2.0,1,-33.930649,18.8558911,,Flats/Apartments,8
2153,2395000,3.0,3,-34.128853,18.420537,83.0,Houses,13
2154,2450000,3.0,2,-34.13151,18.42805,126.0,Houses,14
2155,880000,1.0,1,-33.928703000000006,18.856524,30.0,Flats/Apartments,5
2156,2050000,3.0,2,-34.125676,18.414006,126.0,Houses,12
2157,2250000,3.0,2,-34.1262073,18.4163153,619.0,Houses,13
2158,1650000,1.0,1,-33.937076,18.855029000000002,51.0,Flats/Apartments,9
2159,4200000,3.0,2,-33.6666209,18.5811957,,Smallholdings/Farms,23
2160,1950000,3.0,2,-34.125676,18.414006,276.0,Houses,11
2162,5850000,4.0,3,-33.9550489,18.8532453,537.0,Houses,32
2163,1550000,2.0,1,-33.9296844,18.8552014,,Flats/Apartments,9
2164,3995000,4.0,3,-33.6666209,18.5811957,,Smallholdings/Farms,22
2165,1995000,2.0,2,-33.930616,18.856991,57.0,Flats/Apartments,11
2166,3950000,6.0,3,-33.9303602,18.855539999999998,,Houses,22
2167,8900,2.0,1,-33.9258473,18.857160699999998,,Flats/Apartments,1
2168,1350000,2.0,1,-33.925036999999996,18.857377,74.0,Townhouses,8
2169,1595000,3.0,1,-34.1291255,18.424321300000003,186.0,Houses,9
2170,1495000,2.0,1,-33.9258473,18.857160699999998,,Flats/Apartments,9
2171,1285000,2.0,1,-33.9258473,18.857160699999998,,Flats/Apartments,7
2172,1185000,2.0,1,-33.924782,18.85847,52.0,Flats/Apartments,7
2173,1075000,1.0,1,-33.9782971,18.848215300000003,,Houses,6
2174,1550000,2.0,1,-33.9258473,18.857160699999998,,Flats/Apartments,9
2175,2395000,3.0,2,-34.1158201,18.3941074,,Houses,13
2176,1550000,2.0,1,-33.924782,18.85847,61.0,Flats/Apartments,9
2177,3400000,3.0,3,-33.954096378271,18.854468850293,,Houses,19
2178,1550000,2.0,1,-33.903761700000004,18.8580538,,Flats/Apartments,9
2179,950000,1.0,1,-33.931015,18.857669,35.0,Flats/Apartments,6
2180,1280000,2.0,1,-33.931015,18.857669,49.0,Flats/Apartments,7
2181,1950000,3.0,2,-34.1256715,18.411817300000003,25.0,Houses,11
2182,2550000,2.0,1,-33.932084,18.857801000000002,59.0,Flats/Apartments,14
2183,3595000,4.0,2,-34.117366,18.395134,133.0,Townhouses,20
2184,2800000,3.0,2,-33.955667600000005,18.853516,,Townhouses,16
2185,2650000,3.0,1,-33.928937899999994,18.8573345,,Flats/Apartments,15
2186,1590000,2.0,1,-33.928464,18.857484,73.0,Flats/Apartments,9
2187,1400000,2.0,1,-34.134637,18.432736,83.0,Flats/Apartments,8
2188,1350000,1.0,1,-33.928937899999994,18.8573345,,Flats/Apartments,8
